Row	station_id	date	t	qt	td	qtd	twet	qtwet	u	qu	tmin	qtmin	tmax	qtmax	dd	qdd	ff	qff	dd_max	qdd_max	ff_max	qff_max	dd_gust	qdd_gust	ff_gust	qff_gust	p	qp	p0	qp0	ppp	qppp	a	qa	ir	qir	rrr	qrrr	rrrt	qrrrt	rrr24	qrrr24	ix	qix	ww	qww	w1	qw1	w2	qw2	vv	qvv	sshn	qsshn	n	qn	h	qh	nh	qnh	cl	qcl	cm	qcm	ch	qch	Ns1	qNs1	C1	qC1	hs1	qhs1	Ns2	qNs2	C2	qC2	hs2	qhs2	Ns3	qNs3	C3	qC3	hs3	qhs3	Ns4	qNs4	C4	qC4	hs4	qhs4	radglo24	qradglo24	evt	qevt	tsoil	qtsoil	e	qe	esnow	qesnow	ess	qess	ss	qss	tusoil005	qtusoil005	tusoil010	qtusoil010	tusoil020	qtusoil020	tusoil030	qtusoil030	tusoil050	qtusoil050	tusoil100	qtusoil100	musoil005	qmusoil005	musoil010	qmusoil010	musoil020	qmusoil020	musoil030	qmusoil030	musoil050	qmusoil050	musoil070	qmusoil070	musoil100	qmusoil100	ew	qew	ews	qews	tmin_12h	qtmin_12h	tmax_12h	qtmax_12h	contentmessage
82-Smiley face	99369	2024-02-06 04:00:00	-2.6	111115	-3.8	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1017.4	111115	791.3	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
83-Smiley face	99369	2024-02-06 05:00:00	-2.4	111115	-3.7	111115		999999		999999		999999		999999	250	313515	8	313115		999999		999999		999999		999999	1017.4	111115	791.3	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
84-Smiley face	99369	2024-02-06 06:00:00	-2.5	111115	-3.1	111115	-2.6	111115	96	111515		999999		999999	230	111515	3	111115		999999		999999		999999		999999	1018.2	111115	791.8	111115	0.6	111515	3	111515	1	111555	3.0	111155	6	115555	3.8	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.86	115555	5.08	115555		999999		999999	AAXX 06061 99369 16/// /2303 11025 21031 37918 40182 53006 60031 333 3//// 5//// 70038 555 11026 29095=
85-Smiley face	99369	2024-02-06 07:00:00	-2.2	111115	-2.6	111115		999999		999999		999999		999999	250	111515	6	111115		999999		999999		999999		999999	1017.9	111115	791.7	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /2503 11022 21026 37917 40179 50004 333 60035 555 11023 29097
86-Smiley face	99369	2024-02-06 08:00:00	-1.8	111115	-2.2	111115		999999		999999		999999		999999	250	313515	8	313115		999999		999999		999999		999999	1017.6	111115	791.6	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
87-Smiley face	99369	2024-02-06 09:00:00	-1.0	111115	-1.6	111115	-1.2	111115	95	111515		999999		999999	240	111515	3	111115		999999		999999		999999		999999	1016.8	111115	791.3	111115	-0.5	111515	8	111515	4	111555		999999		999999	8.1	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.6	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	5.42	115555	5.68	115555		999999		999999	AAXX 06091 99369 46/// /2403 11010 21016 37913 40168 58005 333 70081 555 11012 29096 66666 00006 1//// 2//// 3//// 5//// 9////=
88-Smiley face	99369	2024-02-06 10:00:00	0.3	111115	-2.2	111115		999999		999999		999999		999999	260	111515	6	111115		999999		999999		999999		999999	1015.8	111115	790.9	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
89-Smiley face	99369	2024-02-06 11:00:00	2.7	111115	-3.0	111115		999999		999999		999999		999999	310	111515	2	111115		999999		999999		999999		999999	1015.5	111115	791.4	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
90-Smiley face	99369	2024-02-06 12:00:00	3.5	111115	-3.6	111115	0.7	111115	59	111515		999999		999999	360	111515	1	111115		999999		999999		999999		999999	1015.1	111115	791.4	111115	0.1	111515	3	111515	1	111555	4.0	313155	6	115555	7.8	313155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.65	115555	7.85	115555		999999		999999	AAXX 06121 99369 16/// /3601 10035 21036 37914 40151 53001 60041 333 70078 555 10007 29060=
91-Smiley face	99369	2024-02-06 13:00:00	1.9	111115	-4.4	111115		999999		999999		999999		999999	360	111515	2	111115		999999		999999		999999		999999	1016.9	111115	792.1	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /3601 10019 21044 37921 40169 52012 333 60005 555 11006 29063
92-Smiley face	99369	2024-02-06 14:00:00	1.6	111115	-4.8	111115		999999		999999		999999		999999	210	111515	2	111115		999999		999999		999999		999999	1017.4	111115	792.3	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /2101 10016 21048 37923 40174 53009 333 60005 555 11009 29063
93-Smiley face	99369	2024-02-06 15:00:00	-1.2	111115	-6.6	111115	-3.0	111115	67	111515	-2.7	111155	3.5	111155	260	111515	2	111115		999999		999999		999999		999999	1020.1	111115	793.3	111115	1.9	111515	2	111515	4	111555		999999		999999	7.8	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.5	115155	0.5	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.73	115555	5.6	115555	-2.7	115555	3.5	115555	AAXX 06151 99369 46/// /2602 11012 21066 37933 40201 52019 333 10035 21027 70078 555 11030 29067 66666 00005 10005 2//// 3//// 5//// 9////=
94-Smiley face	99369	2024-02-06 18:00:00	-3.9	111115	-7.9	111115	-5.0	111115	74	111515		999999		999999	140	111515	2	111115		999999		999999		999999		999999	1022.6	111115	794.2	111115	0.9	111515	1	111515	1	111555	0.0	111155	6	115555	7.6	111155	6	111555		999999		999999		999999		999999	0.7	111155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	61.0	115555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.39	115555	4.58	115555		999999		999999	AAXX 06181 99369 16/// /1402 11039 21079 37942 40226 51009 60001 333 55007 20061 70076 555 11050 29074=
95-Smiley face	99369	2024-02-06 21:00:00	-5.0	111115	-9.4	111115	-6.1	111115	72	111515		999999		999999	250	111515	2	111115	260.0	313555	6.0	313155	270.0	212555	7.0	212155	1023.3	111115	794.9	111115	0.7	111515	0	111515	4	111555		999999		999999	7.5	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.02	115555	4.22	115555		999999		999999	AAXX 06211 99369 46/// /2502 11050 21094 37949 40233 50007 333 70075 555 11061 29071 32606 42707=
96-Smiley face	99369	2024-02-07 00:00:00	-5.6	111115	-10.9	111115	-6.9	111115	66	111515		999999		999999	310	111515	1	111115		999999		999999		999999		999999	1020.9	111115	794.4	111115	-0.5	111515	8	111515	1	111555	0.0	111155	6	115555	7.5	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.66	115555	4.03	115555		999999		999999	AAXX 07001 99369 16/// /3101 11056 21109 37944 40209 58005 60001 333 70075 555 11069 29066=
97-Smiley face	99369	2024-02-07 03:00:00	-5.5	111115	-12.3	111115	-7.1	111115	60	111515	-6.2	111155	-1.5	111155	250	111515	2	111115		999999		999999		999999		999999	1024.5	111115	795.5	111115	1.1	111515	3	111515	4	111555		999999		999999	6.8	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.2	115155	0.1	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.43	115555	4.06	115555	-6.2	115555	-1.5	115555	AAXX 07031 99369 46/// /2502 11055 21123 37955 40245 53011 333 11015 21062 70068 555 11071 29059 66666 00002 10001 2//// 3//// 5//// 9////=
98-Smiley face	99369	2024-02-07 04:00:00	-4.9	111115	-13.7	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1025.7	111115	796.4	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
99-Smiley face	99369	2024-02-07 05:00:00	-1.9	111115	-12.5	111115		999999		999999		999999		999999	270	111515	4	111115		999999		999999		999999		999999	1025.3	111115	796.5	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
100-Smiley face	99369	2024-02-07 06:00:00	1.6	111115	-11.3	111115	-2.5	111115	38	111515		999999		999999	250	111515	1	111115		999999		999999		999999		999999	1024.4	111115	797.1	111115	1.6	111515	2	111515	1	111555	0.0	111155	6	115555	3.9	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	2.61	115555	6.86	115555		999999		999999	AAXX 07061 99369 16/// /2501 10016 21113 37971 40244 52016 60001 333 3//// 5//// 70039 555 11025 29038=
101-Smiley face	99369	2024-02-07 07:00:00	2.6	111115	-8.4	111115		999999		999999		999999		999999	240	111515	4	111115		999999		999999		999999		999999	1024.6	111115	797.4	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
102-Smiley face	99369	2024-02-07 08:00:00	4.4	111115	-6.9	111115		999999		999999		999999		999999	220	111515	2	111115		999999		999999		999999		999999	1023.8	111115	797.4	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /2201 10044 21069 37974 40238 51009 333 60005 555 10003 29044
103-Smiley face	99369	2024-02-07 09:00:00	5.6	313115	-6.3	111115	1.1	111115	41	111515		999999		999999	220	111515	1	111115		999999		999999		999999		999999	1022.7	111115	797.1	111115	0.0	111515	0	111515	4	111555		999999		999999	0.1	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	1.0	115155	0.9	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.75	115555	9.09	115555		999999		999999	AAXX 07091 99369 46/// /2201 10056 21063 37971 40227 50000 333 70001 555 10011 29042 66666 00010 10009 2//// 3//// 5//// 9////=
104-Smiley face	99369	2024-02-07 10:00:00	2.7	111115	-4.5	111115		999999		999999		999999		999999	250	111515	4	111115		999999		999999		999999		999999	1024.4	111115	797.1	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
105-Smiley face	99369	2024-02-07 11:00:00	3.5	111115	-4.6	111115		999999		999999		999999		999999	250	111515	4	111115		999999		999999		999999		999999	1023.8	111115	796.8	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
106-Smiley face	99369	2024-02-07 12:00:00	3.7	111115	-4.9	111115	0.4	111115	53	111515		999999		999999	220	111515	2	111115		999999		999999		999999		999999	1023.9	111115	796.9	111115	-0.2	111515	5	111515	1	111555	0.0	111155	6	115555	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.19	115555	7.96	115555		999999		999999	AAXX 07121 99369 16/// /2202 10037 21049 37969 40239 55002 60001 333 70000 555 10004 29054=
107-Smiley face	99369	2024-02-07 13:00:00	1.2	111115	-7.0	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1025.3	111115	797.0	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
108-Smiley face	99369	2024-02-07 14:00:00	0.0	111115	-6.8	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1026.0	111115	797.2	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
109-Smiley face	99369	2024-02-07 15:00:00	-1.1	111115	-7.1	111115	-3.1	111115	63	111515	-5.9	111155	5.1	313155	0	111515	0	111115		999999		999999		999999		999999	1027.0	111115	797.6	111115	0.7	111515	3	111515	4	111555		999999		999999	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.5	115155	0.4	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.57	115555	5.64	115555	-5.9	115555	5.1	115555	AAXX 07151 99369 46/// /0000 11011 21071 37976 40270 53007 333 10051 21059 70000 555 11031 29064 66666 00005 10004 2//// 3//// 5//// 9////=
110-Smiley face	99369	2024-02-07 18:00:00	-3.1	111115	-7.9	111115	-4.5	111115	70	111515		999999		999999	180	111515	1	111115		999999		999999		999999		999999	1025.9	111115	798.5	111115	0.9	111515	2	111515	1	111555	0.0	111155	6	115555	0.0	111155	6	111555		999999		999999		999999		999999	2.8	111155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	111.0	115555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.38	115555	4.86	115555		999999		999999	AAXX 07181 99369 16/// /1801 11031 21079 37985 40259 52009 60001 333 55028 20111 70000 555 11045 29070=
111-Smiley face	99369	2024-02-07 21:00:00	-3.7	111115	-8.9	111115	-5.2	111115	66	111515		999999		999999	230	111515	1	111115	240.0	111555	4.0	111155	240.0	111555	5.0	111155	1023.4	111115	797.8	111115	-0.7	111515	7	111515	4	111555		999999		999999	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.08	115555	4.65	115555		999999		999999	AAXX 07211 99369 46/// /2301 11037 21089 37978 40234 57007 333 70000 555 11052 29067 32404 42405=
112-Smiley face	99369	2024-02-08 00:00:00	-3.9	111115	-9.5	111115	-5.4	111115	66	111515		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1024.4	111115	797.9	111115	0.1	111515	3	111515	1	111555	0.0	111155	6	115555	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.02	115555	4.58	115555		999999		999999	AAXX 08001 99369 16/// /0000 11039 21095 37979 40244 53001 60001 333 70000 555 11054 29065=
113-Smiley face	99369	2024-02-08 03:00:00	-3.6	111115	-8.8	111115	-5.1	111115	67	111515	-4.7	111155	-1.6	111155	260	111515	2	111115		999999		999999		999999		999999	1027.0	111115	798.2	111115	0.3	111515	3	111515	4	111555		999999		999999	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.3	115155	0.2	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.12	115555	4.68	115555	-4.7	115555	-1.6	115555	AAXX 08031 99369 46/// /2602 11036 21088 37982 40270 53003 333 11016 21047 70000 555 11051 29067 66666 00003 10002 2//// 3//// 5//// 9////=
114-Smiley face	99369	2024-02-08 04:00:00	-3.5	111115	-9.1	111115		999999		999999		999999		999999	260	111515	4	111115		999999		999999		999999		999999	1028.1	111115	798.6	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
115-Smiley face	99369	2024-02-08 05:00:00	1.6	111115	-8.5	111115		999999		999999		999999		999999	0	111515	0	111115		999999		999999		999999		999999	1026.5	111115	799.2	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
116-Smiley face	99369	2024-02-08 06:00:00	1.5	111115	-8.8	111115	-2.0	111115	46	111515		999999		999999	170	111515	1	111115		999999		999999		999999		999999	1026.7	111115	799.2	111115	1.0	111515	1	111515	1	111555	0.0	111155	6	115555	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	3.16	115555	6.81	115555		999999		999999	AAXX 08061 99369 16/// /1701 10015 21088 37992 40267 51010 60001 333 3//// 5//// 70000 555 11020 29046=
117-Smiley face	99369	2024-02-08 07:00:00	3.9	111115	-5.1	111115		999999		999999		999999		999999	250	111515	2	111115		999999		999999		999999		999999	1025.5	111115	799.3	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
118-Smiley face	99369	2024-02-08 08:00:00	4.1	111115	-4.0	111115		999999		999999		999999		999999	250	111515	4	111115		999999		999999		999999		999999	1025.1	111115	799.0	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
119-Smiley face	99369	2024-02-08 09:00:00	6.1	111115	-3.2	111115	2.3	111115	51	111515		999999		999999	230	111515	3	111115		999999		999999		999999		999999	1024.3	111115	798.7	111115	-0.5	111515	8	111515	4	111555		999999		999999	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	1.0	115155	0.9	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.78	115555	9.41	115555		999999		999999	AAXX 08091 99369 46/// /2303 10061 21032 37987 40243 58005 333 70000 555 10023 29051 66666 00010 10009 2//// 3//// 5//// 9////=
120-Smiley face	99369	2024-02-08 10:00:00	5.0	111115	-3.6	111115		999999		999999		999999		999999	250	111515	4	111115		999999		999999		999999		999999	1023.8	111115	798.0	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
121-Smiley face	99369	2024-02-08 11:00:00	5.5	111115	-3.2	111115		999999		999999		999999		999999	220	313515	6	313115		999999		999999		999999		999999	1023.0	111115	797.7	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
122-Smiley face	99369	2024-02-08 12:00:00	4.4	111115	-3.3	111115	1.3	111115	57	111515		999999		999999	250	111515	3	111115		999999		999999		999999		999999	1023.4	111115	797.4	313115	-1.3	111515	7	111515	1	111555	0.0	111155	6	115555	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.73	115555	8.36	115555		999999		999999	AAXX 08121 99369 16/// /2503 10044 21033 37974 40234 57013 60001 333 70000 555 10013 29057=
123-Smiley face	99369	2024-02-08 13:00:00	3.4	111115	-3.8	111115		999999		999999		999999		999999	260	313515	8	313115		999999		999999		999999		999999	1023.8	111115	797.3	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	
124-Smiley face	99369	2024-02-08 14:00:00	2.7	111115	-3.7	111115		999999		999999		999999		999999	250	313515	10	313115		999999		999999		999999		999999	1024.1	111115	797.4	111115		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	99369 26/// /2505 10027 21037 37974 40241 55003 333 60005 555 10002 29063
125-Smiley face	99369	2024-02-08 15:00:00	0.8	111115	-4.4	111115	-1.2	111115	68	111515	-4.6	111155	6.6	111155	260	111515	2	111115		999999		999999		999999		999999	1025.3	111115	797.8	313115	0.2	313515	3	313515	4	111555		999999		999999	0.0	111155	6	111555		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	0.6	115155	0.5	115155		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999		999999	4.38	115555	6.47	115555	-4.6	115555	6.6	115555	AAXX 08151 99369 46/// /2602 10008 21044 37978 40253 53002 333 10066 21046 70000 555 11012 29069 66666 00006 10005 2//// 3//// 5//// 9////=
